Pos,Team,P,W,D,L,Pts
1,Man City,38,35,0,3,105
2,Liverpool,38,35,0,3,105
3,Arsenal,38,34,1,3,103
4,Newcastle,38,29,2,7,89
5,Chelsea,38,29,2,7,89
6,Man United,38,21,3,14,66
7,Aston Villa,38,21,2,15,65
8,Bournemouth,38,20,0,18,60
9,Brighton,38,19,2,17,59
10,Tottenham,38,19,0,19,57
11,Nott'm Forest,38,18,1,19,55
12,Brentford,38,18,0,20,54
13,Fulham,38,17,3,18,54
14,Crystal Palace,38,16,0,22,48
15,West Ham,38,11,1,26,34
16,Everton,38,9,0,29,27
17,Wolves,38,6,3,29,21
18,Southampton,38,5,1,32,16
19,Leicester,38,4,1,33,13
20,Ipswich,38,2,2,34,8
