Team,Actual Pos,Actual Pts,Pred Pos,Pred Pts,Pos Diff
Liverpool,1,84,2,105,1
Arsenal,2,74,3,103,1
Man City,3,71,1,105,-2
Chelsea,4,69,5,89,1
Aston Villa,5,66,7,65,2
Newcastle,6,66,4,89,-2
Nott'm Forest,7,65,11,55,4
Brighton,8,61,9,59,1
Brentford,9,56,12,54,3
Bournemouth,10,56,8,60,-2
Fulham,11,54,13,54,2
Crystal Palace,12,53,14,48,2
Everton,13,48,16,27,3
West Ham,14,43,15,34,1
Man United,15,42,6,66,-9
Wolves,16,42,17,21,1
Tottenham,17,38,10,57,-7
Leicester,18,25,19,13,1
Ipswich,19,22,20,8,1
Southampton,20,12,18,16,-2
